Unnamed: 0,Property ID,Locality data,Price,Property type,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Swimming pool,Building condition
9333,20135745,8300,999999,apartment,2.0,118.0,0,0,1,,,0,As new
1737,20206578,4140,999999,house,13.0,778.0,1,0,1,443.0,,0,Good
7967,20135600,8300,999999,apartment,2.0,118.0,0,0,1,,,0,As new
2563,20234889,1851,999000,house,4.0,345.0,1,1,1,15.0,,0,Good
5435,20215434,1160,997000,apartment,3.0,144.0,0,0,1,43.0,,0,As new
1004,20226523,8420,995000,house,4.0,568.0,0,0,1,,,0,Good
2136,20207321,1150,995000,house,5.0,339.0,0,0,1,,,0,As new
6077,20238340,1040,995000,apartment,3.0,220.0,0,0,1,25.0,,0,As new
2747,20161968,2000,995000,house,5.0,398.0,1,0,1,13.0,78.0,0,Good
8480,10626636,8301,995000,apartment,3.0,100.0,0,0,1,,,0,As new
8479,20007558,8300,995000,apartment,2.0,67.0,0,0,1,,,0,Good
8655,11040394,1150,995000,apartment,3.0,185.0,0,0,1,14.0,82.0,0,As new
200,20144173,1180,995000,house,6.0,294.0,1,0,1,120.0,240.0,0,Good
3878,10803929,8500,995000,house,3.0,260.0,0,0,1,40.0,,0,As new
1826,20237694,9000,995000,house,4.0,403.0,0,0,1,,,0,As new
1175,20221420,1160,995000,house,5.0,265.0,0,0,1,,500.0,0,To be done up
6640,20168762,1180,995000,apartment,5.0,400.0,1,0,1,88.0,370.0,0,To be done up
931,20246669,1200,995000,house,5.0,298.0,0,0,1,7.0,45.0,0,As new
2704,11434981,1950,995000,house,4.0,243.0,0,0,1,24.0,500.0,0,As new
785,20246454,3910,995000,house,4.0,454.0,0,0,1,,,0,As new
227,20227443,8420,995000,house,4.0,568.0,0,0,1,,,0,Good
4563,20217685,2970,995000,house,4.0,508.0,0,0,1,70.0,2160.0,0,Good
2688,20168763,1180,995000,house,5.0,400.0,1,0,1,88.0,370.0,0,To be done up
548,20214988,9270,995000,house,5.0,425.0,1,0,1,,,0,To be done up
7311,11272201,1040,995000,apartment,3.0,220.0,0,0,1,25.0,,0,Just renovated
2662,20217961,3700,995000,house,5.0,713.0,0,0,1,,,0,As new
1320,20240751,8000,995000,house,4.0,282.0,1,0,1,,,0,As new
1922,20214311,8730,995000,house,4.0,300.0,0,0,1,,,0,Good
2473,20232438,3140,995000,house,8.0,470.0,0,0,1,,,0,As new
773,20211059,9080,995000,house,3.0,441.0,0,0,1,,,1,As new
1957,20240938,2360,995000,house,4.0,425.0,0,0,1,,,0,As new
5124,20190523,3212,995000,house,4.0,294.0,0,0,1,,,0,As new
5057,20195188,3210,995000,house,4.0,294.0,0,0,1,,,0,As new
137,20246412,1200,995000,house,4.0,221.0,0,0,1,7.0,45.0,0,As new
3386,20235171,1180,995000,house,6.0,268.0,1,0,1,100.0,234.0,0,Good
4594,20221485,1150,995000,house,5.0,265.0,1,0,1,16.0,450.0,0,To renovate
8128,20030690,8300,995000,apartment,2.0,89.0,0,0,1,,,0,Just renovated
9190,20022851,1150,995000,apartment,3.0,184.0,0,0,1,5.0,96.0,0,As new
8141,11484997,8300,995000,apartment,2.0,68.0,0,1,1,,,0,Just renovated
6788,11085578,8300,995000,apartment,2.0,70.0,0,1,1,,,0,Good
6789,11275857,8300,995000,apartment,3.0,103.0,0,0,1,,,0,As new
8127,11468221,8300,995000,apartment,2.0,70.0,0,0,1,50.0,,0,Just renovated
3491,20164224,8800,995000,house,5.0,550.0,0,0,1,,,0,Good
8997,20140686,1180,995000,apartment,5.0,288.0,0,0,1,65.0,,0,As new
6444,11040240,8300,995000,apartment,2.0,70.0,0,1,1,50.0,,0,Just renovated
4094,10462599,1150,995000,house,4.0,220.0,1,0,1,15.0,145.0,0,As new
4095,20006476,3910,995000,house,5.0,725.0,0,0,1,,,1,Good
4096,20020854,9860,995000,house,4.0,360.0,0,0,1,,,0,Just renovated
7377,20221119,8300,995000,apartment,3.0,90.0,0,0,1,,,0,As new
4093,11397487,1380,990000,house,3.0,256.0,0,0,1,50.0,1100.0,1,As new
725,20189412,1180,990000,house,4.0,259.0,1,0,1,20.0,150.0,0,As new
6787,20149743,1180,990000,apartment,5.0,223.0,0,0,1,75.0,,0,To renovate
1548,20231363,7322,990000,house,5.0,436.0,0,1,1,,3600.0,1,As new
3677,11452561,1150,990000,house,7.0,305.0,1,0,1,,1.0,0,To renovate
1735,20197911,1950,990000,house,3.0,321.0,1,0,1,20.0,700.0,0,To be done up
628,20233589,1020,990000,house,4.0,470.0,0,0,1,,,0,Good
8654,11219361,1180,990000,apartment,3.0,247.0,0,0,1,31.0,,0,As new
1767,20139673,2018,985000,house,5.0,415.0,0,0,1,,87.0,0,Good
2341,20215677,1160,985000,house,6.0,450.0,0,0,1,,90.0,0,Good
2082,20232817,1190,985000,house,4.0,303.0,0,0,1,8.0,55.0,0,As new
1245,20225786,2840,985000,house,4.0,250.0,0,0,1,,,1,Good
10025,20214083,1050,980000,apartment,3.0,206.0,0,0,1,,,1,Good
7702,20150529,1180,980000,apartment,2.0,140.0,0,0,1,30.0,,0,As new
9189,11396725,1050,980000,apartment,2.0,141.0,0,0,1,3.0,,0,As new
9480,20022853,1180,980000,apartment,2.0,140.0,0,0,1,30.0,,0,As new
297,20159608,1950,980000,house,5.0,245.0,0,0,1,15.0,660.0,0,Good
2081,20204441,1380,980000,house,6.0,343.0,0,0,1,,,0,To be done up
10217,20081859,1050,980000,apartment,4.0,270.0,1,0,1,4.0,,0,To renovate
8125,20120307,1000,980000,apartment,4.0,307.0,0,0,1,10.0,,0,To renovate
8126,20120273,1050,980000,apartment,4.0,307.0,0,0,1,10.0,,0,To renovate
1521,20229227,9620,980000,house,4.0,430.0,0,0,1,,,0,As new
4573,20197380,4900,979000,house,4.0,300.0,1,0,1,,,0,As new
136,20236654,1640,975000,house,7.0,465.0,0,0,1,,477.0,0,Good
134,20236655,1410,975000,house,7.0,465.0,0,0,1,,477.0,0,Good
135,20236653,1420,975000,house,7.0,465.0,0,0,1,,477.0,0,Good
7366,20190525,3020,975000,apartment,3.0,173.0,0,0,1,220.0,,0,As new
2703,11474182,1341,975000,house,5.0,452.0,1,0,1,71.0,7043.0,0,Good
8019,20066595,8620,975000,apartment,2.0,92.0,0,1,1,,,0,As new
10216,20068787,8300,975000,apartment,3.0,110.0,0,0,1,,,0,As new
3584,20143919,9630,975000,house,6.0,615.0,0,0,1,,,1,As new
2651,20240153,8620,975000,house,3.0,155.0,1,1,1,,,0,To renovate
4752,11389828,6700,975000,house,5.0,506.0,1,0,1,,,0,Good
7820,20226905,1050,975000,apartment,3.0,204.0,0,0,1,25.0,,0,As new
8290,20065846,8300,975000,apartment,3.0,110.0,0,0,1,,,0,Just renovated
3111,20200985,6700,975000,house,7.0,370.0,0,0,1,40.0,1000.0,0,As new
7819,20226904,1000,975000,apartment,3.0,204.0,0,0,1,25.0,,0,As new
6663,20196255,8300,975000,apartment,3.0,110.0,0,1,1,,,0,Good
10336,11443930,8300,975000,apartment,2.0,112.0,0,0,1,,,0,Just renovated
2792,20132489,4053,970000,house,4.0,305.0,1,0,1,20.0,1060.0,1,As new
5546,20221779,8301,970000,apartment,2.0,117.0,1,0,1,,,0,Good
1288,20243942,9160,969000,house,3.0,190.0,0,0,1,20.0,20000.0,0,To be done up
583,20231229,1150,965000,house,6.0,225.0,0,0,1,30.0,250.0,0,Good
394,20193110,1050,955000,house,5.0,395.0,0,0,1,,100.0,0,To renovate
5957,20243520,8300,955000,apartment,2.0,65.0,0,0,1,,,0,As new
2562,20205429,9860,950000,house,5.0,982.0,0,0,1,,,0,Good
5676,20213021,8300,950000,apartment,1.0,72.0,0,0,1,,,0,To renovate
199,20191048,1970,950000,house,4.0,240.0,0,0,1,,420.0,0,Good
5381,20233310,1050,950000,apartment,3.0,223.0,0,0,1,13.0,,0,As new
229,20229362,1180,950000,house,4.0,193.0,1,0,1,1.0,150.0,0,As new
7723,20212729,2000,950000,apartment,3.0,183.0,0,0,1,86.0,,0,As new
1536,20234548,1150,950000,house,5.0,271.0,1,0,1,25.0,,0,Good
5025,20162378,1495,950000,house,4.0,278.0,0,0,1,81.0,2950.0,1,As new
1636,20128641,3600,949000,house,4.0,419.0,0,0,1,,,1,As new
4955,20176963,9080,949000,house,4.0,415.0,1,0,1,,,0,As new
4092,11440849,2160,949000,house,2.0,793.0,0,0,1,,,0,Good
4091,10799372,1160,945000,house,5.0,251.0,0,0,1,15.0,62.0,0,As new
509,20243794,8300,945000,house,4.0,158.0,0,0,1,,,0,Just renovated
173,20230482,1650,945000,house,4.0,465.0,0,0,1,,,0,Good
5831,20242087,1000,945000,apartment,3.0,280.0,0,0,1,,,0,Good
174,20230386,1755,945000,house,4.0,465.0,0,0,1,,,0,Good
6419,20243856,8670,945000,apartment,2.0,76.0,0,0,1,,,0,As new
6236,20241779,8300,945000,apartment,3.0,100.0,0,0,1,,,0,Just renovated
